City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
174,leninskoye,41.7589,69.3864,-7.95,70,6,2.33,KZ,2025-01-25 02:05:18
175,hadibu,12.65,54.0333,23.55,64,100,7.42,YE,2025-01-25 02:05:18
176,sola,-13.8833,167.55,28.1,77,100,5.69,VU,2025-01-25 02:05:18
177,nadym,65.5333,72.5167,-16.11,97,100,1.97,RU,2025-01-25 02:05:19
178,brigantine,39.4101,-74.3646,-4.41,76,4,4.01,US,2025-01-25 02:05:19
179,iqaluit,63.7506,-68.5145,-18.15,71,40,3.09,CA,2025-01-25 02:05:19
180,cadale,2.7603,46.3222,21.2,90,7,6.26,SO,2025-01-25 02:05:19
181,thompson,55.7435,-97.8558,-11.91,79,40,7.2,CA,2025-01-25 02:05:19
182,ceeldheer,3.8488,47.1806,21.04,90,97,6.37,SO,2025-01-25 02:05:20
183,kapuskasing,49.4169,-82.4331,-12.95,78,100,6.17,CA,2025-01-25 02:05:20
184,batang,-6.4846,110.7083,28.31,76,100,0.11,ID,2025-01-25 02:04:37
185,rongelap,11.1635,166.8941,26.83,70,11,7.63,MH,2025-01-25 02:05:20
186,olonkinbyen,70.9221,-8.7187,-1.53,90,100,6.25,SJ,2025-01-25 02:05:21
187,kingscliff,-28.2667,153.5667,27.19,73,100,7.2,AU,2025-01-25 02:05:21
188,ketchikan,55.3422,-131.6461,5.55,91,82,0.89,US,2025-01-25 02:05:21
189,jalai nur,49.45,117.7,-16.45,91,100,1.74,CN,2025-01-25 02:05:21
190,aoulef,26.9667,1.0833,18.48,15,99,5.38,DZ,2025-01-25 02:05:01
191,at taraf,25.3628,49.725,11.3,72,6,1.55,SA,2025-01-25 02:05:22
192,kavaratti,10.5669,72.642,27.87,69,21,4.63,IN,2025-01-25 02:05:22
193,cidreira,-30.1811,-50.2056,24.17,85,96,2.63,BR,2025-01-25 02:05:22
194,kaduy,59.2,37.15,-1.91,96,100,3.16,RU,2025-01-25 02:05:23
195,ulsteinvik,62.3432,5.8487,9.5,68,99,5.13,NO,2025-01-25 02:05:23
196,nueva concepcion,14.2,-91.3,23.74,78,0,1.81,GT,2025-01-25 02:05:24
197,laboulaye,-34.1266,-63.3912,26.07,36,0,3.85,AR,2025-01-25 02:05:08
198,bredasdorp,-34.5322,20.0403,19.82,90,5,1.66,ZA,2025-01-25 02:05:24
199,yeppoon,-23.1333,150.7333,29.05,70,87,4.41,AU,2025-01-25 02:05:24
200,petropavlovsk-kamchatsky,53.0452,158.6483,-7.67,53,0,3,RU,2025-01-25 02:03:46
201,nova sintra,14.8667,-24.7167,22.16,67,86,8.83,CV,2025-01-25 02:05:25
202,quellon,-43.1167,-73.6167,10.35,98,47,1.3,CL,2025-01-25 02:05:25
203,ust'-barguzin,53.45,108.9833,-19.43,88,27,2.9,RU,2025-01-25 02:05:25
204,mil'kovo,55.6078,37.7956,-1.32,58,38,2.82,RU,2025-01-25 02:05:26
205,smithers,54.7804,-127.1743,-0.82,93,75,2.57,CA,2025-01-25 02:05:26
206,sambava,-14.2667,50.1667,22.33,90,100,0.87,MG,2025-01-25 02:05:26
207,saipan,15.1355,145.701,32.39,69,0,6.69,MP,2025-01-25 02:05:04
208,usinsk,65.9939,57.5281,-22.79,100,99,2.34,RU,2025-01-25 02:05:26
209,cill airne,52.05,-9.5167,1.02,75,7,2.43,IE,2025-01-25 02:05:27
210,levuka,50.1834,-105.4011,-6.16,92,100,8.69,CA,2025-01-25 02:05:27
211,mili,6.0815,171.735,26.22,86,100,8.81,MH,2025-01-25 02:05:27
212,mbeya,-8.9,33.45,14.54,95,100,1.75,TZ,2025-01-25 02:00:37
213,alofi,-19.0595,-169.9187,30.94,66,40,4.63,NU,2025-01-25 02:05:28
214,coquimbo,-29.9533,-71.3436,16.85,88,0,2.57,CL,2025-01-25 02:05:28
215,san patricio,28.017,-97.5169,6.97,48,0,3.58,US,2025-01-25 02:05:28
216,nazyvayevsk,55.5698,71.3529,-13.41,76,100,6.99,RU,2025-01-25 02:05:29
217,mandera,3.9366,41.867,22.82,46,0,2.38,KE,2025-01-25 02:05:29
218,cabo san lucas,22.8909,-109.9124,20.17,68,0,2.06,MX,2025-01-25 02:04:58
219,qobustan,40.0824,49.412,5.65,83,37,1.88,AZ,2025-01-25 02:05:29
220,karasu,41.071,30.7854,10.4,68,100,2.41,TR,2025-01-25 02:05:29
221,bathsheba,13.2167,-59.5167,26.34,83,75,10.8,BB,2025-01-25 02:05:30
222,cole harbour,44.6724,-63.4751,-7.29,79,0,5.66,CA,2025-01-25 02:05:30
223,palestine,31.9216,35.2033,7.16,87,6,0.48,PS,2025-01-25 01:59:23
224,taoudenni,22.6783,-3.9836,22.35,21,100,1.73,ML,2025-01-25 02:05:30
225,utrik,11.2278,169.8474,26.67,72,49,7.94,MH,2025-01-25 02:05:31
226,choyr,46.3611,108.3611,-9.79,83,100,8.12,MN,2025-01-25 02:05:31
227,mhango,-3.2833,32.85,16.94,94,97,0.84,TZ,2025-01-25 02:05:31
228,helena valley west central,46.6629,-112.0604,-5.83,76,20,3.6,US,2025-01-25 02:05:31
229,zhangye,38.9342,100.4517,-8.61,70,100,6.12,CN,2025-01-25 02:05:04
230,vila velha,-20.3297,-40.2925,26.97,90,75,1.54,BR,2025-01-25 02:05:17
231,hami,42.8,93.45,-9.28,45,100,2.98,CN,2025-01-25 02:05:32
232,nova xavantina,-14.6667,-52.35,23.64,92,70,0.35,BR,2025-01-25 02:05:32
233,pacific grove,36.6177,-121.9166,11.82,89,0,1.34,US,2025-01-25 02:05:33
234,mabaruma,8.2,-59.7833,22.97,90,63,1.34,GY,2025-01-25 02:05:33
235,beaufort,5.3473,115.7455,29.16,73,56,0.65,MY,2025-01-25 02:05:33
236,kismayo,-0.3582,42.5454,23.86,84,33,5.4,SO,2025-01-25 02:05:33
237,enewetak,11.3474,162.3373,27.07,66,25,7.45,MH,2025-01-25 02:05:34
238,qaqortoq,60.7167,-46.0333,-15.25,85,78,3.6,GL,2025-01-25 02:05:34
239,coffs harbour,-30.3,153.1333,25.98,61,12,5.14,AU,2025-01-25 02:04:36
240,al hawatah,13.4167,34.6333,21.95,26,8,5.57,SD,2025-01-25 02:05:35
241,saint-philippe,-21.3585,55.7679,24.48,85,31,2.69,RE,2025-01-25 02:05:35
242,howrah,22.5892,88.3103,18,88,0,1.54,IN,2025-01-25 02:00:52
243,blackfoot,43.1905,-112.345,-9.92,92,100,2.68,US,2025-01-25 02:05:31
244,minbu,20.1833,94.8833,20.31,45,0,2.04,MM,2025-01-25 02:05:35
245,mao,39.8885,4.2658,13.31,83,100,2.57,ES,2025-01-25 02:01:20
246,saint-joseph,-21.3667,55.6167,25.21,76,98,1.05,RE,2025-01-25 02:05:36
247,pandan,14.0453,124.1694,27.83,75,59,2.29,PH,2025-01-25 02:05:36
248,brisas barra de suchiate,14.55,-92.2167,25.88,69,2,1.78,MX,2025-01-25 02:05:36
249,kobelyaky,49.1489,34.1965,3.47,96,100,2.18,UA,2025-01-25 02:05:30
250,port alfred,-33.5906,26.891,21.77,97,18,1.41,ZA,2025-01-25 02:05:37
251,muscat,23.6139,58.5922,15.83,51,0,1.14,OM,2025-01-25 02:02:10
252,kirakira,-10.4544,161.9205,28.98,74,92,2.36,SB,2025-01-25 02:05:37
253,lompoc,34.6391,-120.4579,10.63,92,75,4.12,US,2025-01-25 02:05:37
254,mount isa,-20.7333,139.5,38.87,18,100,4.12,AU,2025-01-25 02:03:05
255,valdivia,-39.8142,-73.2459,15.05,79,3,1.38,CL,2025-01-25 02:05:38
256,salekhard,66.53,66.6019,-25.08,95,76,2.02,RU,2025-01-25 02:05:38
257,yung shue wan,22.2333,114.1167,18.75,78,89,9.69,HK,2025-01-25 02:05:38
258,ibipora,-23.2692,-51.0481,28.4,69,0,1.03,BR,2025-01-25 02:05:38
259,martapura,-3.4167,114.85,28.05,83,40,2.57,ID,2025-01-25 02:01:10
260,yanykurgan,43.915,67.2481,-8.1,64,72,1.87,KZ,2025-01-25 02:05:39
261,aswan,24.0934,32.907,13.61,35,0,2.06,EG,2025-01-25 02:05:39
262,inhambane,-23.865,35.3833,23.73,98,35,2.26,MZ,2025-01-25 02:05:39
263,floro,61.5996,5.0328,4.98,87,100,12.86,NO,2025-01-25 02:05:40
264,san antonio de pale,-1.4014,5.6325,26.48,80,22,1.83,GQ,2025-01-25 02:05:40
265,malindi,-3.2175,40.1191,21.78,95,11,1.6,KE,2025-01-25 02:05:40
266,huarmey,-10.0681,-78.1522,20.51,84,98,5.62,PE,2025-01-25 02:05:40
267,arica,-18.475,-70.3042,21.13,73,0,1.54,CL,2025-01-25 02:05:41
268,lorengau,-2.0226,147.2712,29.91,61,100,3.4,PG,2025-01-25 02:05:41
269,najran,17.4924,44.1277,9.7,43,0,0.49,SA,2025-01-25 02:05:41
270,tomatlan,19.9333,-105.25,19.8,69,63,0.37,MX,2025-01-25 02:05:41
271,lamar,33.6668,-95.5836,3.95,47,0,4.63,US,2025-01-25 02:05:42
272,nyagan,62.1406,65.3936,-14.14,93,18,2.97,RU,2025-01-25 02:05:42
273,hilo,19.7297,-155.09,26.08,84,75,4.63,US,2025-01-25 02:03:38
274,los banos,14.1667,121.1833,28.23,68,6,2.51,PH,2025-01-25 02:00:47
275,geraldton,-28.7667,114.6,24.23,73,75,7.2,AU,2025-01-25 02:05:43
276,knyaze-volkonskoye,48.4642,135.4567,-15.81,93,65,0.82,RU,2025-01-25 02:05:43
277,isna,25.2934,32.554,13.79,41,0,3.34,EG,2025-01-25 02:05:43
278,gonabad,34.3529,58.6837,2.79,37,0,0.13,IR,2025-01-25 02:05:43
279,anadyr,64.75,177.4833,-28.72,75,75,10,RU,2025-01-25 02:05:44
280,erenhot,43.6475,111.9767,-5.02,96,100,3.88,CN,2025-01-25 02:05:44
281,northam,51.0333,-4.2167,5.45,66,100,0.89,GB,2025-01-25 02:05:44
282,kochi,9.9399,76.2602,22.99,70,62,2.4,IN,2025-01-25 02:05:44
283,wad medani,14.4012,33.5199,19.04,22,0,4.91,SD,2025-01-25 02:05:44
284,kupang,-10.1667,123.5833,32.32,70,40,1.54,ID,2025-01-25 02:00:46
285,faya-largeau,17.9257,19.1043,17.82,25,0,5.68,TD,2025-01-25 02:05:45
286,vel'sk,61.0701,42.0983,-2.67,94,100,4.36,RU,2025-01-25 02:05:45
287,al hamul,31.3115,31.1477,10.31,89,100,1.21,EG,2025-01-25 02:05:45
288,carutapera,-1.195,-46.02,24.04,94,97,3.26,BR,2025-01-25 02:05:46
289,bonny,4.4522,7.1681,26.54,80,90,3.46,NG,2025-01-25 02:05:46
290,miri,4.4148,114.0089,26.08,89,40,0,MY,2025-01-25 02:05:46
291,revda,56.801,59.9303,-13.79,89,17,3.46,RU,2025-01-25 02:05:46
292,hamilton,39.1834,-84.5333,-4.95,63,0,2.06,US,2025-01-25 02:05:46
293,ta`u,-14.2336,-169.5144,27.72,78,16,7.34,AS,2025-01-25 02:05:47
294,aasiaat,68.7098,-52.8699,-13.92,91,100,1.74,GL,2025-01-25 02:05:47
295,nuuk,64.1835,-51.7216,-9.66,79,20,7.2,GL,2025-01-25 02:04:57
296,remire-montjoly,4.9167,-52.2667,24.02,94,75,0.51,GF,2025-01-25 02:05:47
297,tralee,52.2704,-9.7026,2.46,68,10,3.08,IE,2025-01-25 02:05:48
298,hoemul-li,41.4339,129.67,-0.03,46,0,0.4,KP,2025-01-25 02:05:48
299,maxixe,-23.8597,35.3472,23.63,98,35,2.26,MZ,2025-01-25 02:05:48
300,hovd,48.0056,91.6419,-25.56,60,2,3.34,MN,2025-01-25 02:05:48
301,hammerfest,70.6634,23.6821,-5.75,79,0,3.6,NO,2025-01-25 02:05:49
302,ha'il,27.5219,41.6907,6.01,56,0,3.09,SA,2025-01-25 02:04:39
303,qazvin,36.2797,50.0049,1.79,48,75,0,IR,2025-01-25 02:05:49
304,geneina,13.45,22.45,16.31,28,0,7.77,SD,2025-01-25 02:05:50
305,iskateley,67.6803,53.1512,-19.64,98,100,3.2,RU,2025-01-25 02:05:50
306,chimoio,-19.1164,33.4833,21.92,100,75,1.66,MZ,2025-01-25 02:03:58
